facet	value	count
annotation_class	GO:0000812	815
annotation_class	GO:0008199	814
annotation_class	GO:0008250	814
annotation_class	GO:0030288	811
annotation_class	GO:0006417	810
annotation_class	GO:0032991	810
annotation_class	GO:0009706	809
annotation_class	GO:0008080	808
annotation_class	GO:0033612	805
annotation_class	GO:0000421	804
annotation_class	GO:0098978	804
annotation_class	GO:0007156	803
annotation_class	GO:0016281	802
annotation_class	GO:0045211	802
annotation_class	GO:0034440	801
annotation_class	GO:0038187	801
annotation_class	GO:0005788	800
annotation_class	GO:0008519	800
annotation_class	GO:0017025	799
annotation_class	GO:0044877	797
annotation_class	GO:0140658	797
annotation_class	GO:0006352	796
annotation_class	GO:0030008	795
annotation_class	GO:0009887	793
annotation_class	GO:0043408	793
annotation_class	GO:0072488	793
annotation_class	GO:0009927	792
annotation_class	GO:0033314	791
annotation_class	GO:0071482	791
annotation_class	GO:0031204	790
annotation_class	GO:0044325	790
annotation_class	GO:0000381	789
annotation_class	GO:0009723	788
annotation_class	GO:0008194	787
annotation_class	GO:0009051	787
annotation_class	GO:0000796	786
annotation_class	GO:0048812	785
annotation_class	GO:0006082	784
annotation_class	GO:0006783	784
annotation_class	GO:0032588	782
annotation_class	GO:1990817	782
annotation_class	GO:0016929	780
annotation_class	GO:0071944	779
annotation_class	GO:0007264	777
annotation_class	GO:0007602	777
annotation_class	GO:0006120	776
annotation_class	GO:0017108	776
annotation_class	GO:0006401	774
annotation_class	GO:0008374	774
annotation_class	GO:0022008	774
annotation_class	GO:0007219	773
annotation_class	GO:0031047	773
annotation_class	GO:0016342	771
annotation_class	GO:0006979	769
annotation_class	GO:0007076	768
annotation_class	GO:0035371	768
annotation_class	GO:0043328	767
annotation_class	GO:0051233	767
annotation_class	GO:0009409	766
annotation_class	GO:0001525	765
annotation_class	GO:0005786	765
annotation_class	GO:0000813	763
annotation_class	GO:0071051	763
annotation_class	GO:0070830	761
annotation_class	GO:0004525	760
annotation_class	GO:0048024	760
annotation_class	GO:0070085	760
annotation_class	GO:0015459	759
annotation_class	GO:0016132	759
annotation_class	GO:0052689	759
annotation_class	GO:0006654	758
annotation_class	GO:0006402	757
annotation_class	GO:0046872	757
annotation_class	GO:0006616	753
annotation_class	GO:0006646	753
annotation_class	GO:0009611	753
annotation_class	GO:0009694	752
annotation_class	GO:0017119	751
annotation_class	GO:0004435	748
annotation_class	GO:0008020	748
annotation_class	GO:0050852	748
annotation_class	GO:0004715	747
annotation_class	GO:0006644	745
annotation_class	GO:0009306	745
annotation_class	GO:0010608	745
annotation_class	GO:0016514	745
